target_latency,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,total_randomness,total_latency,total_area,execution_time
4,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,20,4,30,0.0003883996978402138
5,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.0003241002559661865
6,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.00041079986840486526
7,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.0003434000536799431
8,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,10,8,20,0.0002285996451973915
4,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,20,4,30,0.00022780010476708412
5,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,17,5,27,0.00022980011999607086
6,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,HPC3,HPC3,HPC3,14,6,24,0.00024480000138282776
7,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC3,11,7,21,0.00033240020275115967
8,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,10,8,20,0.00022780010476708412
